[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /v1/ping                  --> gin-le/route.ping (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/12/20 - 11:19:09 | 200 |       542.3µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:20 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:20 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:21 | 200 |       537.5µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:21 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:22 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:23 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:23 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:24 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:25 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:26 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:26 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:27 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:28 | 200 |       411.5µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:29 | 200 |       511.7µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
